Hotel_Name,Room_Type,Room_Price,Top_Comment,Rating,Total_Reviews,Hotel_Link
Hive Hotel,Deluxe Double or Twin Room,"PKR 11,104",Review score,6.2,"1,409 reviews",https://www.booking.com/hotel/ae/hive-dubai12.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=791275302_338924345_2_42_0&highlighted_blocks=791275302_338924345_2_42_0&matching_block_id=791275302_338924345_2_42_0&sr_pri_blocks=791275302_338924345_2_42_0__15390&tpi_r=2&from=searchresults#hotelTmpl
Dorus Hotel,Deluxe Double Room,"PKR 11,183",Review score,4.9,"1,450 reviews",https://www.booking.com/hotel/ae/dorus-hotel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=17697416_121274125_0_2_0&highlighted_blocks=17697416_121274125_0_2_0&matching_block_id=17697416_121274125_0_2_0&sr_pri_blocks=17697416_121274125_0_2_0__15500&tpi_r=2&from=searchresults#hotelTmpl
Hilton Dubai Al Habtoor City,King Guest Room,"PKR 72,150",Very good,8.3,"2,634 reviews",https://www.booking.com/hotel/ae/hilton-dubai-al-habtoor-city.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=163060315_285067811_2_42_0&highlighted_blocks=163060315_285067811_2_42_0&matching_block_id=163060315_285067811_2_42_0&sr_pri_blocks=163060315_285067811_2_42_0__100000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Palm Beach Hotel,Standard King Room,"PKR 8,658",Review score,5.1,"1,011 reviews",https://www.booking.com/hotel/ae/palm-beach.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=823454601_346651645_2_2_0&highlighted_blocks=823454601_346651645_2_2_0&matching_block_id=823454601_346651645_2_2_0&sr_pri_blocks=823454601_346651645_2_2_0__12000&tpi_r=2&from=searchresults#hotelTmpl
DoubleTree by Hilton Dubai M Square Hotel & Residences,King Guest Room,"PKR 54,113",Very good,8.4,"1,927 reviews",https://www.booking.com/hotel/ae/doubletree-by-hilton-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=688004601_279531692_2_42_0&highlighted_blocks=688004601_279531692_2_42_0&matching_block_id=688004601_279531692_2_42_0&sr_pri_blocks=688004601_279531692_2_42_0__75000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sky Iconic,Deluxe Double Room,"PKR 11,544",Review score,6.5,42 reviews,https://www.booking.com/hotel/ae/skyiconic.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=938386802_366103985_2_0_0&highlighted_blocks=938386802_366103985_2_0_0&matching_block_id=938386802_366103985_2_0_0&sr_pri_blocks=938386802_366103985_2_0_0__16000&tpi_r=2&from=searchresults#hotelTmpl
Canopy by Hilton Dubai Al Seef,King Room,"PKR 39,683",Good,7.9,"1,058 reviews",https://www.booking.com/hotel/ae/canopy-by-hilton-dubai-al-seef.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=309526806_232460976_2_42_0&highlighted_blocks=309526806_232460976_2_42_0&matching_block_id=309526806_232460976_2_42_0&sr_pri_blocks=309526806_232460976_2_42_0__55000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rixos Premium Dubai JBR,Deluxe Double Room,"PKR 144,156",Superb,9.1,"4,120 reviews",https://www.booking.com/hotel/ae/rixos-premium-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=226213512_99074851_2_34_0&highlighted_blocks=226213512_99074851_2_34_0&matching_block_id=226213512_99074851_2_34_0&sr_pri_blocks=226213512_99074851_2_34_0__199800&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
ABJAD CROWN HOTEL,Standard Twin Room,"PKR 11,406",Review score,5.2,204 reviews,https://www.booking.com/hotel/ae/abjad-crown.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=867879101_0_2_0_0&highlighted_blocks=867879101_0_2_0_0&matching_block_id=867879101_0_2_0_0&sr_pri_blocks=867879101_0_2_0_0__15808&tpi_r=1&from=searchresults#hotelTmpl
Ramada Downtown Dubai,"1 Bedroom Premium King, Downtown View, Smoking, Complimentary Transfer to Kite Beach, Dubai Mall and Metro Station","PKR 118,831",Very good,8.4,"6,024 reviews",https://www.booking.com/hotel/ae/ramada-downtown-burj-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=18511684_348851814_2_42_0&highlighted_blocks=18511684_348851814_2_42_0&matching_block_id=18511684_348851814_2_42_0&sr_pri_blocks=18511684_348851814_2_42_0__164700&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Dubai Grand Hotel by Fortune, Dubai Airport",Standard Twin Room,"PKR 13,592",Review score,6.2,407 reviews,https://www.booking.com/hotel/ae/dubai-grand-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=7674906_0_2_0_0&highlighted_blocks=7674906_0_2_0_0&matching_block_id=7674906_0_2_0_0&sr_pri_blocks=7674906_0_2_0_0__18838&tpi_r=1&from=searchresults#hotelTmpl
Delmon Hotel,Deluxe Double Room,"PKR 12,471",Review score,4.0,"4,265 reviews",https://www.booking.com/hotel/ae/delmon.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=6727512_0_2_0_0&highlighted_blocks=6727512_0_2_0_0&matching_block_id=6727512_0_2_0_0&sr_pri_blocks=6727512_0_2_0_0__17285&tpi_r=1&from=searchresults#hotelTmpl
Simba Hotel baithans group,Deluxe Room,"PKR 8,297",Review score,5.5,379 reviews,https://www.booking.com/hotel/ae/simba.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=227547415_99491109_2_0_0&highlighted_blocks=227547415_99491109_2_0_0&matching_block_id=227547415_99491109_2_0_0&sr_pri_blocks=227547415_99491109_2_0_0__11500&tpi_r=2&from=searchresults#hotelTmpl
Ibis Al Rigga,Standard Double Room,"PKR 46,898",Good,7.7,"5,420 reviews",https://www.booking.com/hotel/ae/ibis-al-rigga.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=19160001_119193354_2_42_0&highlighted_blocks=19160001_119193354_2_42_0&matching_block_id=19160001_119193354_2_42_0&sr_pri_blocks=19160001_119193354_2_42_0__65000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Holiday Inn & Suites - Dubai Festival City Mall, an IHG Hotel",Standard Room,"PKR 56,277",Fabulous,8.7,"3,403 reviews",https://www.booking.com/hotel/ae/holiday-inn-dubai-festival-city.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=313089004_338654175_2_42_0&highlighted_blocks=313089004_338654175_2_42_0&matching_block_id=313089004_338654175_2_42_0&sr_pri_blocks=313089004_338654175_2_42_0__78000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Welcome Hotel Apartments 1,Studio Apartment,"PKR 14,719",Review score,6.6,375 reviews,https://www.booking.com/hotel/ae/london-creek-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=18844502_88789211_2_2_0&highlighted_blocks=18844502_88789211_2_2_0&matching_block_id=18844502_88789211_2_2_0&sr_pri_blocks=18844502_88789211_2_2_0__20400&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Marriott Hotel Al Jaddaf Dubai,"Deluxe, Guest room, 1 King (Complimentary shuttle to Dubai Mall / Burj Khalifa, Dubai Festival City, La Mer Beach and nearest metro station)","PKR 68,543",Good,7.8,710 reviews,https://www.booking.com/hotel/ae/dubai-marriott-al-jaddaf.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=87229802_246432203_0_34_0&highlighted_blocks=87229802_246432203_0_34_0&matching_block_id=87229802_246432203_0_34_0&sr_pri_blocks=87229802_246432203_0_34_0__95000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Park Regis Kris Kin Hotel,Deluxe Double Room,"PKR 58,181",Good,7.9,"2,361 reviews",https://www.booking.com/hotel/ae/park-regis-kris-kis.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=26640001_0_2_0_0&highlighted_blocks=26640001_0_2_0_0&matching_block_id=26640001_0_2_0_0&sr_pri_blocks=26640001_0_2_0_0__80639&tpi_r=1&from=searchresults#hotelTmpl
"Residence Inn by Marriott Sheikh Zayed Road, Dubai","Deluxe Studio with 1 King, City view","PKR 79,365",Very good,8.3,272 reviews,https://www.booking.com/hotel/ae/grand-stay-hotel-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=24058880_295479062_2_41_0&highlighted_blocks=24058880_295479062_2_41_0&matching_block_id=24058880_295479062_2_41_0&sr_pri_blocks=24058880_295479062_2_41_0__110000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ibis Deira City Centre,Standard Twin Room,"PKR 41,486",Good,7.6,"4,123 reviews",https://www.booking.com/hotel/ae/ibis-deira-city-centre.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=4827501_88008820_2_2_0&highlighted_blocks=4827501_88008820_2_2_0&matching_block_id=4827501_88008820_2_2_0&sr_pri_blocks=4827501_88008820_2_2_0__57500&tpi_r=2&from=searchresults#hotelTmpl
Aloft Palm Jumeirah,Twin Room,"PKR 67,460",Very good,8.2,"2,862 reviews",https://www.booking.com/hotel/ae/aloft-palm-jumeirah.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=289064605_367711414_2_42_0&highlighted_blocks=289064605_367711414_2_42_0&matching_block_id=289064605_367711414_2_42_0&sr_pri_blocks=289064605_367711414_2_42_0__93500&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Vista Square Hotel,Deluxe Double Room,"PKR 17,857",Review score,6.5,849 reviews,https://www.booking.com/hotel/ae/vista-square.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=807840305_342252626_2_2_0&highlighted_blocks=807840305_342252626_2_2_0&matching_block_id=807840305_342252626_2_2_0&sr_pri_blocks=807840305_342252626_2_2_0__24750&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Queens Hotel,Standard Twin Room,"PKR 11,278",Review score,4.6,210 reviews,https://www.booking.com/hotel/ae/queens.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=43&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=177184503_0_2_0_0&highlighted_blocks=177184503_0_2_0_0&matching_block_id=177184503_0_2_0_0&sr_pri_blocks=177184503_0_2_0_0__15632&tpi_r=1&from=searchresults#hotelTmpl
Panorama Hotel Bur Dubai,Double Room,"PKR 14,935",Review score,5.9,235 reviews,https://www.booking.com/hotel/ae/panorama-bur-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=24922802_365913843_2_42_0&highlighted_blocks=24922802_365913843_2_42_0&matching_block_id=24922802_365913843_2_42_0&sr_pri_blocks=24922802_365913843_2_42_0__20700&tpi_r=2&from=searchresults#hotelTmpl
"V Hotel Dubai, Curio Collection by Hilton",King Deluxe Room with Canal View,"PKR 93,795",Good,7.8,"1,387 reviews",https://www.booking.com/hotel/ae/curio-collection-by-hilton-v-hotel-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=45&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=163059218_278761206_2_42_0&highlighted_blocks=163059218_278761206_2_42_0&matching_block_id=163059218_278761206_2_42_0&sr_pri_blocks=163059218_278761206_2_42_0__130000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Movenpick Jumeirah Village Triangle,Premium King Room with City View,"PKR 54,113",Very good,8.1,739 reviews,https://www.booking.com/hotel/ae/movenpick-jumeirah-village-triangle-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=46&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=846580810_351705656_2_42_0&highlighted_blocks=846580810_351705656_2_42_0&matching_block_id=846580810_351705656_2_42_0&sr_pri_blocks=846580810_351705656_2_42_0__75000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Fortune Karama Hotel,Standard Room,"PKR 19,416",Review score,5.3,699 reviews,https://www.booking.com/hotel/ae/karama.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=47&sr_order=popularity&srpvid=337541024dbd025e&srepoch=1677748487&all_sr_blocks=6722503_95672861_2_42_0&highlighted_blocks=6722503_95672861_2_42_0&matching_block_id=6722503_95672861_2_42_0&sr_pri_blocks=6722503_95672861_2_42_0__26910&tpi_r=2&from=searchresults#hotelTmpl
