Hotel_Name,Room_Type,Room_Price,Top_Comment,Rating,Total_Reviews,Hotel_Link
"InterContinental Residence Suites Dubai Festival City, an IHG Hotel",1 King Bed Studio,"PKR 86,580",Fabulous,8.8,"1,207 reviews",https://www.booking.com/hotel/ae/intercontinental-residence-suite-dubai-festival-city.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=23736803_277087163_2_2_0&highlighted_blocks=23736803_277087163_2_2_0&matching_block_id=23736803_277087163_2_2_0&sr_pri_blocks=23736803_277087163_2_2_0__120000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Le Paradise Palace,Deluxe Twin Room,"PKR 13,925",Review score,6.6,42 reviews,https://www.booking.com/hotel/ae/le-paradise-palace.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=951234502_367735446_2_2_0&highlighted_blocks=951234502_367735446_2_2_0&matching_block_id=951234502_367735446_2_2_0&sr_pri_blocks=951234502_367735446_2_2_0__19300&tpi_r=2&from=searchresults#hotelTmpl
MRA Hotel,Double or Twin Room,"PKR 11,364",Review score,5.6,567 reviews,https://www.booking.com/hotel/ae/mra.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=831120501_348280273_2_0_0&highlighted_blocks=831120501_348280273_2_0_0&matching_block_id=831120501_348280273_2_0_0&sr_pri_blocks=831120501_348280273_2_0_0__15750&tpi_r=2&from=searchresults#hotelTmpl
Raintree Rolla Hotel,Deluxe Room,"PKR 11,977",Review score,4.4,"2,996 reviews",https://www.booking.com/hotel/ae/raintree-rolla.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=110006704_88789882_2_0_0&highlighted_blocks=110006704_88789882_2_0_0&matching_block_id=110006704_88789882_2_0_0&sr_pri_blocks=110006704_88789882_2_0_0__16600&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Penninsula Hotel,Standard Double Room,"PKR 10,823",Review score,4.7,"2,066 reviews",https://www.booking.com/hotel/ae/new-penninsula.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=56793101_335392146_0_0_0&highlighted_blocks=56793101_335392146_0_0_0&matching_block_id=56793101_335392146_0_0_0&sr_pri_blocks=56793101_335392146_0_0_0__15000&tpi_r=2&from=searchresults#hotelTmpl
Grand Millennium Business Bay,Deluxe Twin Room,"PKR 97,403",Very good,8.5,"1,559 reviews",https://www.booking.com/hotel/ae/grand-millennium-business-bay-dubai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=351713702_239707792_2_2_0&highlighted_blocks=351713702_239707792_2_2_0&matching_block_id=351713702_239707792_2_2_0&sr_pri_blocks=351713702_239707792_2_2_0__135000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hampton By Hilton Dubai Airport,"Twin Room Non-Smoking with Free Breakfast and Complimentary Shuttle services to DXB Airport T1/T3, Mamzar Beach, Deira City Centre and DAFZA","PKR 28,139",Good,7.3,"3,487 reviews",https://www.booking.com/hotel/ae/hampton-by-hilton-dubai-airport.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=359291208_366420417_2_41_0&highlighted_blocks=359291208_366420417_2_41_0&matching_block_id=359291208_366420417_2_41_0&sr_pri_blocks=359291208_366420417_2_41_0__39000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
York International Hotel,Standard King Room,"PKR 8,009",Review score,3.9,"3,781 reviews",https://www.booking.com/hotel/ae/york-international.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=7147915_96089838_0_2_0&highlighted_blocks=7147915_96089838_0_2_0&matching_block_id=7147915_96089838_0_2_0&sr_pri_blocks=7147915_96089838_0_2_0__11100&tpi_r=2&from=searchresults#hotelTmpl
Cloud9 hostel,Economy Double Room,"PKR 5,844",Review score,6.6,68 reviews,https://www.booking.com/hotel/ae/cloud9-hostel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=939819501_366273239_2_0_0&highlighted_blocks=939819501_366273239_2_0_0&matching_block_id=939819501_366273239_2_0_0&sr_pri_blocks=939819501_366273239_2_0_0__8100&tpi_r=2&from=searchresults#hotelTmpl
OYO 367 Eureka Hotel,King Room,"PKR 10,139",Review score,5.8,"1,459 reviews",https://www.booking.com/hotel/ae/eureka.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLUBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuAKx8dyfBsACAdICJGFiZWRkMzU4LWQ2NDctNDhlYS1iNTQ4LWYyOWQ0ZmJiMjM3YdgCBuACAQ&sid=7017c706b3059b8e3956a6590dfad9ea&aid=304142&ucfs=1&arphpl=1&checkin=2023-03-02&checkout=2023-03-03&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=d59b40e0f4210015&srepoch=1677748419&all_sr_blocks=6836611_364685609_2_0_0&highlighted_blocks=6836611_364685609_2_0_0&matching_block_id=6836611_364685609_2_0_0&sr_pri_blocks=6836611_364685609_2_0_0__14053&tpi_r=2&from=searchresults#hotelTmpl
